"Location","String Value","String Representation","Data Type"
"102c96990","SNAP","\"SNAP\"","ds"
"102c96995","ANIMATE","\"ANIMATE\"","ds"
"102c9699d","INSTANT","\"INSTANT\"","ds"
"102c969a5","OKAY","\"OKAY\"","ds"
"102c969aa","CANCEL","\"CANCEL\"","ds"
"102c969b1","X","\"X\"","ds"
"102c969b3","PRESS R TO RESTART DEMO","\"PRESS R TO RESTART DEMO\"","ds"
"102c969cb","GAME OVER","\"GAME OVER\"","ds"
"102c969d5","\AcidSpit.mp3","\"\\AcidSpit.mp3\"","ds"
"102c969e3","\Around.mp3","\"\\Around.mp3\"","ds"
"102c969ef","RELEASE","\"RELEASE\"","ds"
"102c969f7","20TH SCENE","\"20TH SCENE\"","ds"
"102c96a02","WE ARE INTERRUPTING THE PROGRAM","\"WE ARE INTERRUPTING THE PROGRAM\"","ds"
"102c96a22","\Videodrome.mp3","\"\\Videodrome.mp3\"","ds"
"102c96a32","\YouAreTheBlood.mp3","\"\\YouAreTheBlood.mp3\"","ds"
"102c96a46","YOU DON'T CARE WHAT HAPPENS TO","\"YOU DON'T CARE WHAT HAPPENS TO\"","ds"
"102c96a65","\Detection.mp3","\"\\Detection.mp3\"","ds"
"102c96a74","\ZebraBackground.mp3","\"\\ZebraBackground.mp3\"","ds"
"102c96a89","\Fahkeet.mp3","\"\\Fahkeet.mp3\"","ds"
"102c96a96","\MiamiJam.mp3","\"\\MiamiJam.mp3\"","ds"
"102c96aa4","CLIMAX","\"CLIMAX\"","ds"
"102c96aab","Third Act","\"Third Act\"","ds"
"102c96ab5","\Frantic.mp3","\"\\Frantic.mp3\"","ds"
"102c96ac2","\Richard.mp3","\"\\Richard.mp3\"","ds"
"102c96acf","\Interlude.mp3","\"\\Interlude.mp3\"","ds"
"102c96ade","\Sexualizer.mp3","\"\\Sexualizer.mp3\"","ds"
"102c96aee","EIGHTH SCENE","\"EIGHTH SCENE\"","ds"
"102c96afb","NEW GAME","\"NEW GAME\"","ds"
